Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	39	5
M	1978	MATH	1983	50	5
M	1998	PSYC	2001	30	3
F	1991	ART	1994	37	3
F	1972	BIO	1979	56	7
F	1987	ART	1998	41	11
M	1966	BIO	1971	62	5
M	1992	HIST	2002	36	10
M	1982	GOES	1998	46	16
M	1982	CSCI	1988	46	6
M	1980	THEA	1990	48	10
M	1990	ECON	2000	38	10
F	1983	BIO	1990	45	7
M	1981	PE	1989	47	8
M	1994	PE	2004	34	10
F	1974	ENGL	1974	54	0
F	1988	PHIL	1998	40	10
F	1993	ECON	2000	35	7
F	1988	THEA	2001	40	13
M	1958	HSCI	1966	70	8
F	1968	MATH	1979	60	11
F	1996	ART	2006	32	10
F	1969	ENGL	1977	59	8
M	1967	ENGL	1972	61	5
M	1963	RL	1974	65	11
M	1973	ART	1976	55	3
M	1986	ENVI	2004	42	18
M	1990	HIST	1999	38	9
F	1996	SOC	2006	32	10
M	1989	CHEM	1994	39	5
M	1979	ART	2003	49	24
F	1979	MUS	1987	49	8
M	1989	COMP	1998	39	9
F	1988	PHYS	1995	40	7
M	1991	KOR	2002	37	11
M		ECON			
M	1998	STAT	2005	30	7
M	1970	ECON	1976	58	6
F	1985	ECON	1996	43	11
F	1976	THEA	1979	52	3
M	1969	MUS	1984	59	15
M	1972	ANTH	1981	56	9
M	1943	ECON	1952	85	9
M	1987	MUS	1994	41	7
F	1992	PE	2005	36	13
M	1958	THEA	1966	70	8
F	1987	REL	1995	41	8
F	1968	ENGL	1972	60	4
M	1985	MATH	1990	43	5
M	1975	LEAD	1984	53	9
F	1976	DANC	1987	52	11
M	2000	PE	2003	28	3
M	1972	ECON	1976	56	4
M	1997	ECON	2003	31	6
M	1971	MAST	1979	57	8
F	1984	ENGL	1991	44	7
F	1986	RUSS	1995	42	9
M	1976	THEA	1979	52	3
F	1995	LATS	2003	33	8
F	1995	ENGL	2002	33	7
M	1972	LEAD	1978	56	6
F	1981	CHIN	2004	47	23
M	1992	ART	2002	36	10
F	1981	CLAS	1993	47	12
F	1983	ENGL	1995	45	12
F	1981	ART	1991	47	10
M	1968	ARTH	1977	60	9
F	1985	GEOS	1993	43	8
F	1957	PSYC	1962	71	5
M	1979	PSCI	1986	49	7
M	1991	PHIL	1999	37	8
M	1959	HIST	1966	69	7
F	1984	CSCI	1992	44	8
M	1970	REL	1981	58	11
M	1994	ENGL	2002	34	8
M	1987	ENGL	1994	41	7
M	1994	ECON	2002	34	8
M	1973	STAT	1986	55	13
M	1994	BIO	2004	34	10
M	1996	CLAS	2005	32	9
F	1970	RL	1980	58	10
M	1972	GEOS	1977	56	5
M	1993	MATH	1999	35	6
F	1989	PSCI	1997	39	8
M	1958	HIST	1964	70	6
M	1961	BIO	1966	67	5
M	2001	PE	2001	27	0
F	1968	ART	1975	60	7
M	1988	SOC	1993	40	5
M	1969	REL	1991	59	22
F	1982	GERM	1987	46	5
M	1989	PHIL	1998	39	9
F	1966	ENGL	1973	62	7
M	1951	ART	1965	77	14
M	1975	ANTH	1986	53	11
F	1999	AFR	2006	29	7
F	1975	ART	1990	53	15
F	1971	BIO	1978	57	7
M	1997	PSYC	2003	31	6
F	1980	PSYC	1985	48	5
M	1971	THEA	1986	57	15
M	1970	ART	1973	58	3
M	1968	PE	1975	60	7
M	1987	AFR	1997	41	10
M	1973	PE	1990	55	17
F	1981	ECON	1990	47	9
M	1986	PSYC	1991	42	5
M	1971	MUS	1971	57	0
F	1964	ART	1973	64	9
M	1970	PE	1974	58	4
F	1994	HIST	2007	34	13
M	1974	ENGL	1980	54	6
F	1987	ANTH	1996	41	9
M	1981	PHYS	1981	47	0
M	1976	ECON	1982	52	6
F	1990	RL	2001	38	11
F	1995	RLSP	2001	33	6
M	1995	CSCI	2000	33	5
M	1981	ENVI	1984	47	3
M	1986	ARTH	2000	42	14
F	1994	HIST	2003	34	9
F	1985	ENVI	2000	43	15
M	1981	MATH	1986	47	5
M	1990	ECON	2004	38	14
F	1994	CHEM	1998	34	4
M	1986	ECON	1991	42	5
M	1978	PHIL	1987	50	9
F	1997	GEOS	2004	31	7
M	1976	ART	1977	52	1
F	1992	RLSP	2003	36	11
M	1966	PSYC	1970	62	4
F	1996	CHEM	2004	32	8
M	1991	HIST	1998	37	7
F	1973	RUSS	1983	55	10
M	1983	ECON	1996	45	13
M	1992	MUS	2000	36	8
F	1979	ENVI	1981	49	2
M	1974	AFR	1981	54	7
F	1958	ENGL	1976	70	18
F	1996	PE	2003	32	7
M	1975	PE	1982	53	7
F	1969	ART	1969	59	0
F	1988	REL	1998	40	10
F	1996	REL	2005	32	9
F	1996	PSYC	2002	32	6
M	1983	CHEM	1994	45	11
M	1966	ARTH	1976	62	10
F	1976	PSYC	1981	52	5
