Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	46	5
F	1997	JAPN	2007	38	10
M	1978	MATH	1983	57	5
F	2001	CSCI	2007	34	6
F	1991	ART	1994	44	3
M	1998	MUS	2004	37	6
F	1972	BIO	1979	63	7
M	1966	BIO	1971	69	5
M	1999	ECON	2003	36	4
M	1982	GEOS	1998	53	16
M	1982	CSCI	1988	53	6
M	1980	THEA	1990	55	10
M	1990	ECON	2000	45	10
F	1983	BIO	1990	52	7
F	1995	ENGL	2012	40	17
F	1993	PE	1996	42	3
M	1994	PE	2004	41	10
F	1974	ENGL	1974	61	0
F	1988	PHIL	1998	47	10
M	1958	HSCI	1966	77	8
F	1969	ENGL	1977	66	8
M	1967	ENGL	1972	68	5
M	1963	RL	1974	72	11
M	1973	ART	1976	62	3
M	1990	HIST	1999	45	9
M	1989	CHEM	1994	46	5
M	2008	MATH	2013	27	5
F	2006	MATH	2010	29	4
M	2002	CHEM	2008	33	6
F	1979	MUS	1987	56	8
M	1989	JAPN	1998	46	9
F	1988	PHYS	1995	47	7
F	2003	CLAS	2012	32	9
M	1970	ECON	1976	65	6
F	1988	AFR	2006	47	18
F	1980	BIO	1990	55	10
M		ARTH			
F	1976	THEA	1979	59	3
F	1977	HIST	1997	58	20
M	1972	ANTH	1981	63	9
F	1987	REL	1995	48	8
F	1983	DANC	1987	52	4
F	2006	MUS	2013	29	7
F	2003	MUS	2012	32	9
M	1972	ECON	1976	63	4
M	1971	MAST	1979	64	8
M	2000	BIO	2010	35	10
F	1984	ENGL	1991	51	7
F	1986	RUSS	1995	49	9
M	1985	ENVI	1994	50	9
M	1976	THEA	1979	59	3
F	1995	LATS	2003	40	8
M	1972	LEAD	1978	63	6
F	1981	CHIN	2004	54	23
F	1994	JAPN	1994	41	0
F	1999	HIST	2006	36	7
M	1992	ART	2002	43	10
F	1981	CLAS	1993	54	12
F	2006	PE	2009	29	3
M	1988	ARTH	1999	47	11
F	1983	ENGL	1995	52	12
M		ART			
F	2002	GEOS	2010	33	8
M	1968	ARTH	1977	67	9
M	2005	PSCI	2005	30	0
F	1999	GEOS	2006	36	7
F	2001	ENGL	2009	34	8
F	1985	GEOS	1993	50	8
M	1979	PSCI	1986	56	7
M	2002	PE	2002	33	0
F	1994	PSYC	2006	41	12
M	2003	PSCI	2007	32	4
M	1991	PHIL	1999	44	8
F	1999	RLFR	2012	36	13
F	1991		1991	44	0
F	1984	CSCI	1992	51	8
M	1970	REL	1981	65	11
F		THEA			
M	1987	ENGL	1994	48	7
M	1973	STAT	1986	62	13
F	2005	PE	2007	30	2
M	1994	BIO	2004	41	10
M	1996	CLAS	2005	39	9
M	1962	ASTR	1966	73	4
F	1973	RL	1980	62	7
F	2001	RLFR	2012	34	11
M	1972	GEOS	1977	63	5
M	1993	MATH	1999	42	6
M	1958	HIST	1964	77	6
M	1986	MUS	1990	49	4
M	1969	REL	1991	66	22
F	1982	GERM	1987	53	5
F	1991	HIST	2003	44	12
M	1989	PHIL	1998	46	9
F	1966	ENGL	1973	69	7
M	1975	ANTH	1986	60	11
F	1975	ART	1990	60	15
F	1971	BIO	1978	64	7
F	1999	ARAB	2010	36	11
M	2001	BIO	2007	34	6
F	1980	PSYC	1985	55	5
M	1996	ARTH	2002	39	6
F	2000	PSCI	2010	35	10
M	1971	THEA	1986	64	15
M	1970	ART	1973	65	3
F	1997	ARAB	2013	38	16
M	2009	LATS	2011	26	2
M	1987	PHYS	1991	48	4
M	1968	PE	1975	67	7
M	1973	PE	1990	62	17
M	1986	PSYC	1991	49	5
M	1971	MUS	1971	64	0
F	1964	ART	1973	71	9
F		DANC			
F	1998	ENGL	2009	37	11
M	1970	PE	1974	65	4
F	1994	HIST	2007	41	13
M	1974	ENGL	1980	61	6
F	1987	ANTH	1996	48	9
M	1981	PHYS	1981	54	0
F		AFR			
M	1976	ECON	1984	59	8
F	1990	RL	2001	45	11
F	1995	RLSP	2001	40	6
M	1995	CSCI	2000	40	5
F	2007	MATH	2013	28	6
F	1994	HIST	2003	41	9
F	1985	ENVI	2000	50	15
M	1981	MATH	1986	54	5
M	1986	ECON	1991	49	5
M	1978	PHIL	1987	57	9
F	1997	GEOS	2004	38	7
F	2007	PE	2009	28	2
M	1976	ART	1977	59	1
M	1989	CHEM	1996	46	7
F	1996	CHEM	2004	39	8
M	1973	ART	1982	62	9
F	1973	RUSS	1983	62	10
M	1983	ECON	1996	52	13
M	1992	MUS	2000	43	8
M	1967	HIST	1980	68	13
M	1980	ARTH	1990	55	10
M	2008	PE	2013	27	5
M	1975	PE	1982	60	7
F	1969	ART	1969	66	0
F	1988	REL	1998	47	10
F	1996	PSYC	2002	39	6
M	2006	MATH	2007	29	1
M	1966	ARTH	1976	69	10
F	1976	PSYC	1981	59	5
M	1981	ART	1988	54	7
M	1999	CSCI	2006	36	7
F	2008	STAT	2013	27	5
F	2002	ARTH	2008	33	6
M	1967	ECON	1972	68	5
F	1986	PE	1989	49	3
M	2003	LATS	2012	32	9
F	2000	LATS	2010	35	10
M		PE			
M	1981	PSCI	1985	54	4
F	1982	MUS	1989	53	7
M	2000	PE	2000	35	0
F	1996	THEA	2006	39	10
F	1983	WGSS	1991	52	8
M	2010	PE	2010	25	0
F	1972	CLAS	1976	63	4
M	1998	ENVI	2009	37	11
M	1999	REL	2011	36	12
M	1963	SOC	1976	72	13
F	1999	ECON	2010	36	11
M	1973	MUS	1977	62	4
F	1980	AFR	1987	55	7
F	1969	ART	1989	66	20
M	1959	ART	1970	76	11
F	1979	PSCI	1986	56	7
M	1971	ART	1997	64	26
F	1992	ART	1996	43	4
M	1979	MATH	1985	56	6
M	2002	ENGL	2012	33	10
M	1977	PHYS	1983	58	6
M	1999	REL	2006	36	7
M	1972	ANTH	1986	63	14
F	1989	JAPN	1999	46	10
M	1982	PE	1994	53	12
F	1998	HIST	2010	37	12
M	1964	CHEM	1970	71	6
M	1975	GEOS	1981	60	6
M	1974	PSYC	1978	61	4
M	1967	PSYC	1974	68	7
M	1970	MUS	1979	65	9
F	2002	PSCI	2012	33	10
F	2000	PE	2012	35	12
M	1991	PE	1991	44	0
F	1988	ENGL	1996	47	8
M	1973	GERM	1979	62	6
F	1977	GERM	1977	58	0
M	1985	PSYC	1991	50	6
M	1985	HIST	1997	50	12
M	1983	ENGL	1991	52	8
M	1996	STAT	2004	39	8
M	2004	HIST	2009	31	5
F	1971	ENGL	1975	64	4
F	1998	ENVI	2006	37	8
M	1972	HIST	1983	63	11
F	2003	ENGL	2013	32	10
M	2006	GERM	2013	29	7
M	1996	PSYC	2005	39	9
M	1969	ART	1989	66	20
M	1972	ASST	1981	63	9
F	1989	MUS	1994	46	5
M	1994	ENGL	2006	41	12
M	1993	PE	1999	42	6
M	1982	ECON	1989	53	7
F	1972	ASTR	1979	63	7
F	2000	ECON	2006	35	6
F		RUSS			
F	1978	ART	1980	57	2
M	1969	MUS	1969	66	0
M	1995	BIO	2002	40	7
M	1999	ECON	2012	36	13
F	2006	ECON	2008	29	2
M	1977	CSCI	1983	58	6
M	1976	ART	1980	59	4
M	2001	PE	2001	34	0
M	1980	ARTH	1989	55	9
M	1980	PE	1985	55	5
F	2004	CHIN	2007	31	3
M	1974	ENGL	1981	61	7
M	2000	PE	2001	35	1
F	1989	MATH	1994	46	5
F	1989	HIST	2003	46	14
M	1992	PHYS	2001	43	9
M	1996	ECON	2003	39	7
M	1979	CHEM	1985	56	6
M	1994	ART	2001	41	7
M	1979	BIO	1983	56	4
M	1972	PSCI	1983	63	11
F	1992	CHEM	1992	43	0
M	1977	PSCI	1989	58	12
M	1982	PHYS	1989	53	7
M	1988	PE	1990	47	2
F	2001	PE	2001	34	0
M	1995	AFR	2002	40	7
F	1999	AFR	2007	36	8
F	1977	PE	1988	58	11
M	1964	PSCI	1968	71	4
F	1999	BIO	2008	36	9
M	1993	RLFR	2003	42	10
F	1984	NSCI	1995	51	11
F	1978	PE	1986	57	8
M	1986	PSCI	1999	49	13
M	2004	ENVI	2012	31	8
M	1987	PE	2007	48	20
F	1979	ART	1983	56	4
M	2000	CSCI	2006	35	6
M	1994	PHIL	2007	41	13
M	1993	ENGL	2003	42	10
F	1982	PE	1985	53	3
F	1992	PSCI	2003	43	11
F	1986	HIST	1994	49	8
F	1998	PE	2008	37	10
F	2008	MUS		27	
M	1996	MATH	2002	39	6
F	2011	ART	2013	24	2
M	2000	WGSS	2012	35	12
F	1984	PHIL	1996	51	12
F	2005	PSYC	2011	30	6
M		HIST			
M	1973	ECON	1973	62	0
F	1999	CLAS	2007	36	8
M	1994	BIO	1999	41	5
M	1974	MATH	1977	61	3
M	1996	THEA	2001	39	5
M	2000	PSCI	2008	35	8
M	1981	ENGL	1986	54	5
M	1974	CSCI	1983	61	9
F	1989	HIST	1996	46	7
F	1996	COMP	2007	39	11
M	1999	REL	2013	36	14
M	2000	ECON	2003	35	3
F	1976	GERM	1984	59	8
M	1962	RL	1971	73	9
F	2004	REL	2009	31	5
F	2002	PSCI	2010	33	8
M	1984	SOC	1995	51	11
M	1991	CHIN	2004	44	13
F	1972	ART	1982	63	10
F	2000	ARTH	2013	35	13
M	2002	ECON	2010	33	8
F	1997	MATH	2003	38	6
M	1986	CHEM	1992	49	6
M	1975	ENGL	1975	60	0
F		DANC			
M	1963	ASTR	1969	72	6
M	1990	PSCI	2000	45	10
M	1974	CHEM	1982	61	8
F	1986	PHIL	1999	49	13
M	1986	ECON	1993	49	7
F	1989	MUS	1999	46	10
M	1980	ENGL	1987	55	7
F	1995	RL	2001	40	6
F	1998	PE	2002	37	4
M	1994	RLSP	2003	41	9
F	1982	ART	1987	53	5
M	2003	MUS	2011	32	8
M	1975	ENGL	1984	60	9
M	1968	ENGL	1972	67	4
M	1992	ECON	1997	43	5
F		CLAS			
F	1982	BIO	1990	53	8
F	1990	HIST	2002	45	12
M	1983	HIST	1991	52	8
M	1997	ENGL	2005	38	8
M	1979	CHEM	1986	56	7
F	2003	RLSP	2013	32	10
M		DANC			
M	1998	AFR	2007	37	9
M	1998	ECON	2004	37	6
F	2009	RL	2012	26	3
M	1985	ENGL	1993	50	8
F	1987	RL	1995	48	8
F	1993	LATS	2004	42	11
M	2001	CLAS	2008	34	7
F	1996	SOC	2001	39	5
M	1967	PE	1970	68	3
F	2002	PSYC	2013	33	11
M	1983	ECON	1994	52	11
F	1991	PSYC	1995	44	4
M	1994	PSYC	1999	41	5
M	1993	THEA	2006	42	13
M	1987	BIO	1993	48	6
M	1993	PSYC	1997	42	4
F	1974	PHIL	1983	61	9
M	1996	ENGL	2008	39	12
F	1992	ECON	2002	43	10
F	1999	ANTH	2010	36	11
M	2001	PHYS	2008	34	7
F	1998	ENVI	2012	37	14
M	2004	PHIL	2011	31	7
F	1983	PSCI	1994	52	11
M	1969	PSCI	2002	66	33
M	1978	ENGL	1980	57	2
F	1987	ENGL	1992	48	5
M	1977	ECON	1984	58	7
M	1991	MUS	1996	44	5
F	1996	SOC	2002	39	6
F	1991	ECON	1996	44	5
M	1994	REL	2004	41	10
M	1977	MATH	1984	58	7
F	1980	HIST	1991	55	11
F	1997	HIST	2003	38	6
M	1997	PE	1997	38	0
F	2005	PSCI	2011	30	6
M	1968	BIO	1977	67	9
M	1974	ENGL	1980	61	6
M	1988	CHEM	1996	47	8
F	2007	PSYC	2008	28	1
F	1974	ENGL	1983	61	9
M	1970	PSYC	1975	65	5
F	1991	ART	2011	44	20
M	1973	ASTR	1979	62	6
M	2000	HIST	2009	35	9
F		PHIL	1996		
F	1967	MUS	1969	68	2
M	1999	MATH	2005	36	6
M	1975	PHYS	1985	60	10
M	1998	PHYS	2004	37	6
F	1999	CHEM	1999	36	0
F	2002	PSYC	2009	33	7
F	2001	PE	2006	34	5
M	1983	ECON	1993	52	10
F	1975	ENGL	1983	60	8
F	1987	LEAD	1987	48	0
M	1990	BIO	1994	45	4
F	1972	ART	1978	63	6
F	2000	CHEM	2006	35	6
M	1982	CHEM	1987	53	5
M	1999	PE	1999	36	0
M	2005	ART	2005	30	0
M	1994	INST	1999	41	5
M	1995	ENGL	2001	40	6
M	1975	ENGL	1984	60	9
F	1986	BIO	1994	49	8
M	1963	ECON	1967	72	4
M	1989	CHEM	1998	46	9
M	1995	PHYS	2001	40	6
M	1987	LEAD	2002	48	15
M	1996	ENGL	2008	39	12
F	2004	HIST	2012	31	8
M	1992	COMP	2005	43	13
M	2000	AMST	2013	35	13
M	1974	HIST	1981	61	7
F	1985	AMST	1998	50	13
F	2010	STAT	2012	25	2
M	1977	HIST	1985	58	8
F	1996	ECON	2003	39	7
M	1984	MUS	2005	51	21
M	1979	PE	1979	56	0
F	1985	HIST	1994	50	9
M	1972	PHIL	1980	63	8
F	1996	CLAS	2002	39	6
F	1977	BIO	1985	58	8
F	1994	CHEM	1998	41	4
M	1962	GEOS	1966	73	4
M	1976	HIST	1992	59	16
M	1968	HIST	1973	67	5
M	1973	PHIL	1980	62	7
F	1980	JAPN	2000	55	20
M	2004	CHIN	2010	31	6
F	1994	CHIN	2003	41	9
F	1989	PSYC	1996	46	7
M	1999	ART	1999	36	0
F	1971	PSYC	1976	64	5
M	1985	ECON	1992	50	7
F	1991	ARTH	1999	44	8
M	1969	BIO	1976	66	7
F	1988	RUSS	2000	47	12
F	2000	DANC	2008	35	8
